,Prod,Cons,Diff
1980,0.156,0.155,0.001
1981,0.158,0.154,0.004
1982,0.206,0.154,0.052
1983,0.234,0.159,0.075
1984,0.191,0.16,0.031
1985,0.192,0.16,0.032
1986,0.197,0.158,0.039
1987,0.202,0.156,0.046
1988,0.186,0.16,0.026
1989,0.195,0.153,0.042
1990,0.127,0.108,0.019
1991,0.095,0.093,0.002
1992,13.55,18.437,-4.887
1993,13.075,16.862,-3.787
1994,10.867,14.51,-3.643
1995,10.558,14.09,-3.532
1996,10.527,13.401,-2.874
1997,10.178,12.75,-2.572
1998,10.08,12.435,-2.355
1999,10.837,12.573,-1.736
2000,12.509,12.814,-0.305
2001,13.176,12.989,0.187
2002,13.536,13.255,0.281
2003,14.171,13.893,0.278
2004,14.772,14.511,0.261
2005,15.299,14.722,0.577
2006,16.633,15.2291,1.4039
2007,17.519,15.62,1.899
2008,18.39,15.79,2.6
2009,17.045,13.321,3.724
2010,17.745,14.248,3.497
2011,19.015,15.432,3.583
2012,19.466,15.181,4.285
2013,18.891,15.012,3.879
